Dist: 38.3508247289, Mag: 7.90218136308, Danger: 0
Dist: 95.5303569135, Mag: 12.9223081623, Danger: 0
Dist: 9.04677618934, Mag: 6.561590345, Danger: 0
Dist: 1.6733459062, Mag: 6.5845865851, Danger: 0
Dist: 111.316706749, Mag: 10.1975985672, Danger: 0
Dist: 3.51716133422, Mag: 6.10715753937, Danger: 0
Dist: 127.147721555, Mag: 11.2438195168, Danger: 0
Dist: 75.2048688248, Mag: 5.63996398968, Danger: 0
Dist: 7.01810328132, Mag: 6.49986090817, Danger: 0
Dist: 23.7366011064, Mag: 5.48740468719, Danger: 0
Dist: 3.41496159431, Mag: 6.78897962496, Danger: 0
Dist: 28.9935266764, Mag: 8.92923431449, Danger: 0
Dist: 115.850534204, Mag: 10.6768824315, Danger: 0
Dist: 8.68435311075, Mag: 10.201080931, Danger: 0
Dist: 31.1318247512, Mag: 10.4520160421, Danger: 0
Dist: 3.53914311382, Mag: 11.2417756153, Danger: 0
Dist: 89.3160365633, Mag: 9.35417543857, Danger: 0
Dist: 29.5026839746, Mag: 9.91746482714, Danger: 0
Dist: 49.8889998974, Mag: 7.11477521706, Danger: 0
Dist: 1.73004299891, Mag: 7.77583025031, Danger: 0
Dist: 38.3547738508, Mag: 11.7788761655, Danger: 0
Dist: 95.5298299764, Mag: 17.6153382461, Danger: 0
Dist: 9.04664842658, Mag: 6.7719210668, Danger: 0
Dist: 1.68162569255, Mag: 9.4418340503, Danger: 0
Dist: 111.321297367, Mag: 12.9851085375, Danger: 0
Dist: 3.51716577511, Mag: 9.46465226201, Danger: 0
Dist: 127.130817831, Mag: 12.3669107508, Danger: 0
Dist: 75.2116515432, Mag: 5.55119718276, Danger: 0
Dist: 7.01749941295, Mag: 8.381607404, Danger: 0
Dist: 23.7401240788, Mag: 9.0023060234, Danger: 0
Dist: 3.41506032826, Mag: 7.20413669782, Danger: 0
Dist: 28.996164006, Mag: 10.4981209103, Danger: 0
Dist: 115.837781935, Mag: 15.0212996601, Danger: 0
Dist: 8.68427335096, Mag: 10.337561307, Danger: 0
Dist: 31.128627055, Mag: 10.9316979412, Danger: 0
Dist: 3.53939057622, Mag: 15.9498737282, Danger: 0
Dist: 89.3151205498, Mag: 12.279196547, Danger: 0
Dist: 29.501504335, Mag: 10.2071758856, Danger: 0
Dist: 49.889191302, Mag: 7.94924898706, Danger: 0
Dist: 1.73050344721, Mag: 10.3775197048, Danger: 0
Dist: 38.3520335819, Mag: 13.454351723, Danger: 0
Dist: 95.5412064215, Mag: 18.1808380819, Danger: 0
Dist: 9.04326102147, Mag: 9.89991505884, Danger: 0
Dist: 1.67895679164, Mag: 12.5916290548, Danger: 0
Dist: 111.327358422, Mag: 16.0887946792, Danger: 0
Dist: 3.51717706988, Mag: 13.6185703722, Danger: 0
Dist: 127.113978488, Mag: 16.1598601061, Danger: 0
Dist: 75.2108545933, Mag: 10.3392162582, Danger: 0
Dist: 7.01698267538, Mag: 10.4925629024, Danger: 0
Dist: 23.7295948774, Mag: 11.6873317939, Danger: 0
Dist: 3.41434912534, Mag: 8.70769354692, Danger: 0
Dist: 28.9982703778, Mag: 12.8239579838, Danger: 0
Dist: 115.840069745, Mag: 19.0821070468, Danger: 0
Dist: 8.68271337298, Mag: 14.8169709381, Danger: 0
Dist: 31.1197488378, Mag: 12.4633084876, Danger: 0
Dist: 3.53942614168, Mag: 17.5420680811, Danger: 0
Dist: 89.3141964205, Mag: 13.8625110042, Danger: 0
